clip_id,hand_side,n_frames,angle_diff_deg,svd_f0_mm,wq_f0_mm,delta_f0_mm,svd_avg10_mm,wq_avg10_mm,delta_avg10_mm
hocap__subject_2__20231022_202617__seg02,right,423,4.0,23.9,52.5,28.6,15.9,33.2,17.3
hocap__subject_2__20231022_202617__seg03,right,247,33.1,22.9,61.8,38.9,15.9,28.2,12.3
hocap__subject_2__20231022_203100__seg02,right,248,21.3,26.1,54.5,28.4,18.3,27.5,9.1
hocap__subject_2__20231023_163929__seg00,right,270,16.0,28.5,57.4,28.8,18.7,32.8,14.1
hocap__subject_2__20231023_163929__seg01,right,248,22.1,32.4,69.6,37.2,19.5,42.1,22.6
hocap__subject_2__20231023_163929__seg02,right,113,22.0,20.9,64.1,43.2,14.6,32.7,18.1
hocap__subject_2__20231023_163929__seg03,right,175,14.9,37.9,90.0,52.2,23.1,47.1,24.0
hocap__subject_2__20231023_163929__seg04,right,236,58.2,24.6,60.3,35.6,17.7,26.0,8.3
hocap__subject_2__20231023_164242__seg00,right,484,12.1,28.1,58.9,30.8,17.7,31.8,14.0
hocap__subject_2__20231023_164242__seg01,right,448,27.1,25.1,68.0,42.8,17.9,31.1,13.2
hocap__subject_2__20231023_164242__seg02,right,177,30.4,40.7,111.2,70.5,28.4,61.8,33.4
hocap__subject_2__20231023_164242__seg03,right,105,55.2,31.8,96.7,64.9,20.3,66.5,46.3
hocap__subject_2__20231023_164242__seg04,right,224,56.2,31.5,114.5,83.0,20.4,75.7,55.3
hocap__subject_2__20231023_164741__seg00,right,419,40.4,31.7,55.6,23.9,20.1,26.9,6.8
hocap__subject_2__20231023_164741__seg01,right,503,38.0,29.0,66.1,37.0,17.9,30.9,13.0
hocap__subject_2__20231023_170018__seg01,left,819,29.2,29.6,38.6,9.0,18.5,19.9,1.3
hocap__subject_2__20231023_170018__seg01,right,819,21.8,25.1,57.1,32.0,17.8,24.8,7.0
hocap__subject_3__20231024_154531__seg00,right,280,29.4,21.4,35.3,13.9,14.0,21.3,7.3
hocap__subject_3__20231024_154531__seg01,right,312,10.1,28.8,56.9,28.2,17.0,31.7,14.7
hocap__subject_3__20231024_154531__seg02,right,339,22.6,28.7,63.0,34.4,17.6,39.5,21.9
hocap__subject_3__20231024_154531__seg03,right,323,14.7,29.5,60.4,30.9,17.8,39.4,21.5
hocap__subject_3__20231024_154810__seg00,right,449,2.6,22.5,46.8,24.3,15.4,23.9,8.5
hocap__subject_3__20231024_154810__seg01,right,276,17.8,27.0,55.8,28.9,17.3,29.9,12.6
hocap__subject_3__20231024_154810__seg02,right,110,18.5,30.4,66.3,35.9,19.9,32.2,12.4
hocap__subject_3__20231024_155008__seg00,right,221,49.5,22.9,46.1,23.1,16.8,29.7,12.9
hocap__subject_3__20231024_155008__seg01,right,251,14.0,28.3,59.4,31.1,18.5,34.4,15.9
hocap__subject_3__20231024_155008__seg02,right,252,17.0,29.9,61.0,31.0,17.6,40.8,23.1
hocap__subject_3__20231024_155008__seg03,right,208,18.9,28.7,61.7,33.0,17.3,37.8,20.4
hocap__subject_3__20231024_161209__seg00,right,266,14.7,31.5,64.2,32.8,19.2,35.1,15.8
hocap__subject_3__20231024_161209__seg01,right,288,14.9,32.7,63.1,30.4,19.2,41.3,22.1
hocap__subject_3__20231024_161306__seg00,left,297,7.4,38.9,38.2,-0.7,21.2,20.9,-0.3
hocap__subject_3__20231024_161306__seg00,right,297,10.6,31.9,61.7,29.8,18.4,41.4,23.0
hocap__subject_3__20231024_161306__seg01,left,355,3.4,36.3,34.9,-1.3,19.4,18.9,-0.5
hocap__subject_3__20231024_161306__seg01,right,355,11.7,32.2,61.4,29.2,18.8,42.1,23.4
hocap__subject_3__20231024_161306__seg02,left,316,9.7,33.8,33.7,-0.0,18.7,18.4,-0.3
hocap__subject_3__20231024_161306__seg02,right,316,12.2,29.5,58.8,29.2,17.2,40.4,23.2
hocap__subject_3__20231024_161306__seg03,left,259,4.9,34.8,33.1,-1.7,18.0,17.6,-0.4
hocap__subject_3__20231024_161306__seg03,right,259,6.6,29.6,60.1,30.5,18.3,39.2,20.9
hocap__subject_3__20231024_161937__seg02,right,335,12.8,25.8,54.4,28.6,17.5,30.6,13.1
hocap__subject_3__20231024_161937__seg03,right,287,18.3,27.2,57.2,30.0,18.8,31.4,12.6
